player,fg,fga,xpt,fpts,Season,pid,pos
Younghoe Koo ATL,33.1,37.8,47.8,146.9,2024,16910,k
Justin Tucker BAL,31.5,35.5,46.7,141.3,2024,11465,k
Harrison Butker KC,30.5,34.5,47.3,138.7,2024,16712,k
Brandon Aubrey DAL,31.9,35.5,42.7,138.5,2024,26068,k
Jake Elliott PHI,29.3,32.8,47.6,135.5,2024,16540,k
Jason Myers SEA,31.5,36.6,38.9,133.5,2024,14003,k
Ka'imi Fairbairn HOU,29.9,33.9,42.1,131.9,2024,15756,k
Cameron Dicker LAC,30.0,32.9,41.4,131.4,2024,23901,k
Blake Grupe NO,29.8,34.9,40.7,130.2,2024,25533,k
Greg Zuerlein NYJ,30.4,34.8,38.3,129.6,2024,11345,k
Evan McPherson CIN,27.8,32.2,45.4,128.7,2024,23297,k
Tyler Bass BUF,27.6,33.8,45.8,128.5,2024,19760,k
Cairo Santos CHI,30.0,33.6,38.2,128.1,2024,13731,k
Jake Moody SF,26.7,31.5,47.8,128.0,2024,24009,k
Matt Gay IND,29.5,34.5,39.2,127.6,2024,18545,k
Jason Sanders MIA,27.2,32.2,44.9,126.4,2024,17533,k
Chase McLaughlin TB,28.2,32.2,38.3,122.8,2024,19058,k
Matt Prater ARI,28.9,33.6,35.3,121.9,2024,9443,k
Dustin Hopkins CLE,28.3,32.6,37.0,121.8,2024,11818,k
Cam Little JAC,28.2,33.9,36.8,121.4,2024,26475,k
Jake Bates DET,25.6,30.5,44.2,120.9,2024,26075,k
Joshua Karty LAR,27.5,33.5,38.1,120.6,2024,26478,k
Nick Folk TEN,27.7,30.6,32.2,115.3,2024,9491,k
Chris Boswell PIT,27.5,31.6,32.3,114.8,2024,13029,k
Wil Lutz DEN,27.1,32.3,32.1,113.3,2024,16026,k
Daniel Carlson LV,26.9,30.6,31.8,112.6,2024,17420,k
Will Reichard MIN,25.6,30.6,31.8,108.4,2024,26341,k
Eddy Pineiro CAR,25.9,30.6,29.7,107.6,2024,17575,k
Graham Gano NYG,25.0,30.0,29.6,104.5,2024,9232,k
Chad Ryland NE,22.8,29.3,27.4,95.9,2024,25354,k
Anders Carlson GB,21.7,27.2,26.7,91.7,2024,25465,k
Greg Joseph GB,19.0,28.0,22.0,79.0,2024,17647,k
Cade York WAS,15.3,19.3,19.0,65.0,2024,24549,k
